Product_ID,Actual_Demand,Logistic_Regression_Prediction,Random_Forest_Prediction,Gradient_Boosting_Prediction
P0834,Low,Low,Low,Low
P0835,Medium,Medium,Medium,Medium
P0836,Medium,Medium,Medium,Medium
P0837,High,High,Medium,High
P0838,Medium,Medium,Medium,Medium
P0839,Medium,Medium,Medium,Medium
P0840,Medium,Medium,Medium,Medium
P0841,Low,Low,Low,Low
P0842,Medium,Medium,Medium,Medium
P0843,Low,Low,High,Low
P0844,High,High,High,High
P0845,Low,Low,High,Low
P0846,Medium,Medium,Medium,Medium
P0847,Low,Low,Low,Low
P0848,High,High,Medium,High
P0849,Medium,Medium,Medium,Medium
P0850,Medium,Medium,Medium,Medium
P0851,Low,Low,Low,Low
P0852,Medium,Medium,Medium,Medium
P0853,Low,Low,Low,Low
P0854,High,High,High,High
P0855,Low,Low,Low,Low
P0856,Low,Low,Medium,Low
P0857,Low,Low,Low,Low
P0858,Medium,Medium,Medium,Medium
P0859,Medium,Medium,Medium,Low
P0860,Low,Medium,Low,Low
P0861,High,Low,High,High
P0862,Medium,Medium,Medium,Medium
P0863,Medium,High,Medium,Medium
P0864,Medium,High,Medium,Medium
P0865,Medium,High,Medium,Medium
P0866,Medium,Low,Medium,Medium
P0867,Low,Low,High,Low
P0868,Low,Low,Low,Low
P0869,High,High,High,High
P0870,High,High,High,Medium
P0871,Medium,Medium,Medium,Medium
P0872,Low,High,Low,Low
P0873,Medium,Low,Medium,Medium
P0874,Medium,Medium,Medium,Medium
P0875,Low,Low,Low,High
P0876,Low,Low,Low,Low
P0877,Medium,Medium,Medium,Medium
P0878,Medium,Low,Medium,Medium
P0879,Low,Low,High,Low
P0880,Low,Medium,Low,Low
P0881,Low,Low,Low,Low
P0882,Medium,Medium,High,Medium
P0883,Low,Low,Low,Low
P0884,Low,High,Low,Low
P0885,High,High,High,High
P0886,Low,Low,Low,Low
P0887,Medium,Medium,Medium,Medium
P0888,Low,Low,Low,Low
P0889,Low,Low,Low,Low
P0890,Low,High,Low,Low
P0891,Medium,Medium,Medium,Medium
P0892,High,Medium,High,High
P0893,High,High,Low,High
P0894,Medium,Medium,Low,Medium
P0895,Medium,Medium,Medium,Medium
P0896,Low,Low,Low,Low
P0897,Low,Low,Low,Low
P0898,High,High,High,High
P0899,Low,Low,Low,Low
P0900,Low,Low,Low,Low
P0901,Low,Low,Low,Low
P0902,Low,Low,Low,Low
P0903,Low,Low,Low,Low
P0904,Medium,Medium,Medium,Medium
P0905,Medium,Medium,Low,Medium
P0906,High,High,Medium,High
P0907,High,High,High,High
P0908,Medium,Medium,Medium,Medium
P0909,Low,Low,Low,Low
P0910,Medium,Medium,Medium,Medium
P0911,Medium,Medium,Medium,Medium
P0912,Low,Low,Low,Low
P0913,Medium,Medium,Medium,Medium
P0914,Medium,Medium,Medium,Medium
P0915,Medium,Low,Medium,Medium
P0916,Medium,Medium,High,Medium
P0917,Low,Low,Low,Low
P0918,High,High,High,High
P0919,High,High,High,High
P0920,Low,Medium,Low,Low
P0921,High,High,High,High
P0922,Medium,Medium,Medium,Medium
P0923,High,High,High,Medium
P0924,High,High,High,High
P0925,Medium,Medium,High,Medium
P0926,Low,Low,Low,Low
P0927,Low,Medium,Low,Low
P0928,Medium,High,Low,Medium
P0929,Medium,Medium,Medium,High
P0930,Low,Low,High,Low
P0931,Low,Low,Low,Low
P0932,High,High,High,High
P0933,High,High,High,High
P0934,Medium,Medium,Medium,Medium
P0935,Low,Low,Low,Low
P0936,Low,Low,Low,Low
P0937,Low,Low,Low,Low
P0938,High,Medium,High,High
P0939,Low,Low,Low,Medium
P0940,Medium,Medium,Medium,Medium
P0941,Low,Low,Low,Low
P0942,Medium,Medium,Low,Medium
P0943,Medium,Medium,Medium,Medium
P0944,High,Medium,High,High
P0945,Low,Low,Low,High
P0946,Low,Medium,Low,Low
P0947,Low,Low,Low,Low
P0948,High,High,High,High
P0949,High,Low,High,High
P0950,Medium,Medium,Medium,Medium
P0951,Medium,Medium,High,Medium
P0952,Medium,Medium,Medium,Medium
P0953,Low,Low,Low,Low
P0954,High,High,High,High
P0955,Medium,Medium,Medium,Medium
P0956,Medium,Medium,Medium,Medium
P0957,Medium,Medium,Medium,Medium
P0958,Low,High,Low,Low
P0959,Low,Low,Low,Low
P0960,Medium,Medium,Medium,Medium
P0961,Low,Low,Low,Medium
P0962,Medium,Medium,Medium,Medium
P0963,Low,Low,Low,Low
P0964,Medium,High,Medium,Medium
P0965,Low,Low,Low,Low
P0966,Medium,Medium,Medium,Medium
P0967,Medium,Medium,Medium,Medium
P0968,Low,Low,Low,Low
P0969,Medium,Medium,Medium,Medium
P0970,Medium,Medium,Medium,Medium
P0971,Medium,Medium,Low,Medium
P0972,High,High,High,High
P0973,Medium,Medium,Medium,Medium
P0974,Low,Low,Low,Low
P0975,Low,Low,Low,Low
P0976,Low,Low,Low,Low
P0977,Medium,Medium,Medium,Medium
P0978,Low,Low,Low,Low
P0979,Medium,Medium,Medium,Medium
P0980,Medium,Medium,Medium,Medium
P0981,Medium,Medium,Medium,Medium
P0982,High,High,High,High
P0983,Low,Low,Low,Low
P0984,Low,Low,Low,Low
P0985,Medium,High,Medium,Medium
P0986,Medium,Medium,Medium,Medium
P0987,Medium,Medium,Medium,Medium
P0988,Medium,Medium,Medium,Medium
P0989,Low,Medium,Low,Low
P0990,High,High,High,High
P0991,High,High,High,High
P0992,Medium,Medium,Medium,Medium
P0993,Low,Medium,High,Low
P0994,Medium,Medium,Medium,Medium
P0995,Medium,High,Medium,Medium
P0996,Low,Low,Low,Low
P0997,High,High,High,High
P0998,Low,Low,Low,Low
P0999,High,High,High,High
P1000,Medium,Medium,Medium,Medium
